indic_bt,nace_r2,s_adj,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
PNUM,F_CC111,NSA,PCH_SM,LT	5.3 	-8.2 	14.1 	4.8 	-8.8 	24.8 	12.3 	-17.1 	-3.5 e	-23.6 e	-7.1 e	14.5 e	31.1 e	36.4 e	36.9 e	23.1 e	19.1 	2.2 	9.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,LU	-4.8 	11.2 	11.2 	-26.8 	15.7 	6.5 	-12.7 	14.2 	33.0 	-15.4 	-18.9 	2.2 	4.0 	22.4 	10.1 	2.2 	-2.5 	-10.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,LV	-1.1 	46.5 	-4.1 	-1.4 	2.6 	4.0 	14.0 	4.9 	-16.3 e	-46.6 e	-38.6 e	-12.5 e	20.2 e	24.4 e	47.9 e	39.1 e	45.1 e	10.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,ME	-78.9 	2.3 	79.6 	-38.3 	3.6 	5.7 	70.8 	-21.7 	-60.4 e	11.5 e	66.4 e	-10.1 e	67.6 e	-16.5 e	33.9 e	-16.4 e	74.6 e	3.5 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,MK	-21.8 	6.5 	1.0 	2.5 	34.1 	1.7 	17.2 	-24.0 	-10.3 	-12.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,MT	27.9 	9.8 	33.8 	24.4 	11.4 	11.9 	-15.4 	-4.2 	3.9 	4.5 	-40.2 	-24.3 	-6.6 	7.0 	-9.2 	-0.1 	20.8 	-48.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,NL	2.8 	27.9 	10.9 	46.8 	85.1 	-51.3 	-33.1 	-1.9 	-21.9 	-20.1 	-3.4 	-12.8 	6.5 	3.7 	8.3 	5.9 	8.2 	-22.6 	-3.6 	-2.9 	-12.1 	4.5 	-5.1 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,NO	-8.5 	-5.3 	9.7 	1.4 	-5.5 	-1.6 	0.0 	18.7 	-9.9 	3.2 	-9.6 	-5.9 	9.5 	6.7 	21.2 	-12.1 	-11.2 	-9.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,PL	7.7 	11.4 	12.4 	12.0 	-2.4 	-11.7 	-12.0 	-3.1 	-1.7 	-11.1 	1.8 	47.0 	23.7 	0.0 	-9.8 	58.9 	-52.2 	14.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,PT	27.7 	20.1 	19.6 	10.7 	-5.6 	-29.6 	-29.7 	-17.1 	-7.1 	-28.4 e	-18.4 e	-7.8 e	-3.3 e	-1.0 e	-13.5 e	-4.0 e	-3.2 e	-2.9 e	-3.6 s	9.8 s	11.1 s	9.4 s	0.5 s	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,RO	4.7 	4.2 	-2.8 	2.4 	-1.6 	-0.2 	-4.8 	-6.4 	-14.0 	-18.6 	7.5 	8.9 	16.5 	26.8 	24.9 	-10.0 	-11.2 	9.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,RS	1.2 	43.5 	-11.1 	23.3 	-2.6 	-7.1 	3.6 	6.0 	-21.7 	-10.8 	1.8 	46.1 e	-4.8 e	8.5 e	-0.3 e	44.5 e	-33.4 e	34.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,SE	-21.3 	0.8 	23.9 p	20.9 p	28.0 p	8.0 p	-23.2 p	-15.5 p	14.8 p	-15.1 p	-20.0 p	-3.9 p	15.9 p	12.5 p	12.1 p	24.9 p	4.3 p	-12.5 p	12.3 ps	20.3 s	15.4 s	25.1 s	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,SI	2.8 	3.5 	5.3 	5.2 	-7.6 	8.7 	-6.7 	-8.6 	-16.7 	-11.7 	-7.9 	-4.4 	10.2 	15.0 	1.9 	12.5 	-5.3 	-5.5 	-13.6 	1.0 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,SK	7.0 	6.6 	15.8 	16.6 	4.1 	-1.4 	-3.1 	-1.6 	-11.9 	-18.4 	36.2 	21.7 	4.8 	-12.0 	25.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC111,NSA,PCH_SM,TR	-15.6 	17.1 	-1.8 	-10.2 	7.0 	19.1 	-5.8 	-20.1 	31.3 	-14.7 	-8.2 	-15.6 	-13.6 	50.8 	46.2 	0.9 	-39.5 	1.1 	-17.6 	-17.6 	-10.5 	1.6 	-11.6 	-7.7 	-1.1 	2.2 	: 
PNUM,F_CC111,NSA,PCH_SM,UK	2.8 p	6.3 p	5.7 p	25.5 p	5.3 p	25.3 p	-7.2 	15.6 	29.7 	-21.8 	-39.5 	2.7 	-2.9 	-9.0 	-1.7 	-3.1 	-5.3 	-1.2 	-4.6 	0.3 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,AT	: 	: 	164.6 e	156.1 e	154.1 e	142.1 	116.9 	130.4 	100.0 	105.4 	101.4 	97.5 	100.0 	92.5 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,BE	: 	: 	120.5 p	103.0 	124.3 	107.0 	94.6 	89.1 	100.0 	91.8 	109.4 	115.0 	131.7 	120.4 	103.2 	86.1 	78.8 	71.3 	70.4 	70.6 	56.4 	67.8 	64.4 	68.9 s	: 	: 	: 
PNUM,F_CC112,NSA,I10,BG	: 	227.7 	161.1 	152.9 	137.6 	99.4 	79.7 	79.6 	100.0 	169.2 	468.2 	629.0 	512.1 	303.4 	193.8 	90.7 	78.9 	64.1 	45.0 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,CY	: 	: 	18.5 	17.7 	14.3 	24.1 	35.4 	58.0 	100.0 	118.8 	157.0 	153.1 	129.2 	126.9 	98.8 	71.5 	45.5 	33.6 	30.5 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,CZ	: 	: 	103.6 	118.9 	108.2 	85.1 	74.1 	88.7 	100.0 	174.0 	206.4 	230.6 	225.6 	218.7 	198.7 	171.8 	169.2 	121.2 	166.0 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,DE	: 	: 	236.3 	189.2 	177.2 	166.1 	137.4 	123.0 	100.0 	92.6 	88.8 e	92.8 e	114.3 e	106.9 e	121.1 e	128.9 e	126.7 e	146.4 e	175.6 e	298.9 e	355.8 e	439.3 e	514.6 e	607.0 e	669.6 e	: 	: 
PNUM,F_CC112,NSA,I10,DK	: 	165.7 p	236.4 p	197.9 p	138.7 p	86.4 p	90.6 p	134.8 p	100.0 p	40.2 p	75.2 p	88.7 p	184.9 p	219.7 p	174.5 p	163.6 p	132.3 p	112.5 p	93.7 p	84.9 p	77.6 p	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,EA19	: 	: 	102.7 	87.1 	83.1 	79.4 	89.0 	100.0 	100.0 	110.0 	161.9 	270.5 	301.6 	264.2 	242.4 	212.0 	189.1 s	187.1 s	204.8 s	207.7 s	212.6 s	206.2 s	211.3 s	230.9 s	258.4 s	: 	: 
PNUM,F_CC112,NSA,I10,EE	: 	389.6 	288.2 	274.3 	177.1 	122.8 	135.4 	122.7 	100.0 	54.2 	210.3 	352.5 	572.2 	400.3 	419.7 	106.5 	114.3 	47.8 	33.2 	25.4 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,EL	: 	: 	11.8 	10.9 	11.6 	14.0 	25.8 	49.7 	100.0 	119.9 	168.5 	223.9 	284.9 	499.3 	279.8 	296.0 	297.3 	237.5 	190.0 s	188.0 s	202.6 s	179.6 s	169.1 s	132.6 s	: 	: 	: 
PNUM,F_CC112,NSA,I10,ES	: 	: 	43.2 e	33.1 	32.1 	27.1 	62.7 	81.3 	100.0 	157.5 e	326.8 e	795.4 e	913.1 e	727.4 e	653.6 e	555.6 e	474.4 e	458.4 e	514.7 e	450.4 e	405.7 e	337.0 e	299.6 e	318.6 e	: 	: 	: 
PNUM,F_CC112,NSA,I10,EU28	: 	: 	110.3 	95.2 	91.5 	82.1 	87.1 	98.1 	100.0 	105.2 	151.8 	243.7 	267.2 	235.2 	213.8 	183.7 	160.9 s	157.6 s	169.0 s	168.9 s	172.0 s	166.9 s	171.0 s	186.8 s	: 	: 	: 
PNUM,F_CC112,NSA,I10,FI	: 	: 	160.3 	122.4 	111.1 	90.9 	104.5 	111.0 	100.0 	79.4 	69.6 	81.9 	91.0 	96.6 	88.2 	97.0 	86.2 	83.6 	106.4 	112.5 	100.8 	99.8 	78.5 	53.3 	: 	: 	: 
PNUM,F_CC112,NSA,I10,FR	: 	124.2 e	116.7 e	99.1 e	92.7 e	97.6 e	111.9 e	117.3 e	100.0 e	77.0 e	99.4 e	121.4 e	129.8 e	112.9 e	98.3 e	72.5 e	62.1 e	63.8 e	66.0 e	52.0 e	90.1 e	60.5 e	60.9 e	70.0 e	85.3 e	: 	: 
PNUM,F_CC112,NSA,I10,HR	: 	100.4 	73.9 	53.9 	61.0 	56.9 	72.4 	104.3 	100.0 	129.9 	220.5 	224.3 	227.7 	199.3 	174.0 	181.7 	162.6 	146.9 	88.4 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,HU	: 	: 	192.1 	61.0 	45.8 	30.6 	41.9 	51.4 	100.0 	161.1 	258.9 	237.1 	225.1 	281.3 	299.1 	266.8 	214.1 	205.3 	152.9 	72.3 s	52.1 s	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,IE	: 	: 	56.6 	40.6 	11.4 	17.4 	12.5 	37.1 	100.0 	199.9 	287.7 	313.8 	272.7 	344.8 	466.6 	418.2 	265.6 	258.7 	253.3 	186.2 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,IT	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 
PNUM,F_CC112,NSA,I10,LT	: 	353.3 	344.9 	264.7 	193.2 	196.5 	175.4 	96.9 	100.0 	65.8 e	300.0 e	396.6 e	336.5 e	225.8 e	157.3 e	116.1 e	68.1 	65.0 	66.9 	87.7 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,LU	: 	: 	150.6 	121.0 	180.8 	96.2 	127.8 	121.7 	100.0 	113.2 	120.1 	146.8 	126.1 	140.1 	115.9 	95.1 	81.8 	75.4 	93.6 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,LV	: 	64.5 	75.0 	43.5 	57.8 	168.9 	114.6 	88.1 	100.0 	116.7 e	178.0 e	596.8 e	519.3 e	370.9 e	184.3 e	104.1 e	13.8 e	4.7 e	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,ME	: 	: 	104.4 	108.2 	103.0 	116.5 	127.7 	113.9 	100.0 	122.7 e	93.6 e	75.0 e	50.2 e	44.7 e	71.4 e	41.6 e	52.7 e	45.4 e	58.3 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,MK	: 	146.6 	146.0 	109.8 	94.7 	86.1 	143.4 	122.2 	100.0 	84.1 	92.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,MT	: 	: 	169.1 	81.8 	59.4 	55.2 	66.6 	87.7 	100.0 	123.6 	165.5 	274.4 	239.9 	201.8 	140.9 	121.5 	104.2 	76.7 	37.4 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,NL	: 	95.0 	72.9 	88.7 	70.8 	56.0 	55.9 	83.5 	100.0 	108.3 	122.2 	118.1 	119.6 	86.1 	68.1 	70.4 	62.1 	58.2 	68.1 	80.3 	86.1 	104.2 	114.0 	91.0 	: 	: 	: 
PNUM,F_CC112,NSA,I10,NO	: 	209.5 	193.8 	157.2 	148.7 	158.6 	154.8 	155.1 	100.0 	93.7 	123.1 	196.9 	211.8 	225.4 	190.5 	130.8 	140.7 	128.3 	111.4 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,PL	: 	: 	159.5 	142.3 	110.7 	84.7 	105.8 	116.7 	100.0 	102.3 	155.6 	179.3 	121.3 	79.8 	66.6 	41.5 	52.5 	76.0 	98.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,PT	: 	54.1 	42.1 	23.3 	17.1 	18.4 	33.1 	55.5 	100.0 	110.6 	236.7 e	352.1 e	377.6 e	396.7 e	400.4 e	457.1 e	501.8 e	632.3 e	729.0 e	760.6 s	697.0 s	614.8 s	536.8 s	471.5 s	: 	: 	: 
PNUM,F_CC112,NSA,I10,RO	: 	316.9 	218.9 	179.4 	137.8 	106.8 	106.4 	89.4 	100.0 	99.8 	198.4 	169.6 	90.8 	57.6 	45.8 	46.5 	29.4 	49.9 	52.6 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,RS	: 	: 	119.4 	88.8 	67.9 	66.2 	97.6 	108.1 	100.0 	121.8 	140.5 	129.1 	97.0 e	99.5 e	94.3 e	86.1 e	65.7 e	62.3 e	62.9 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,SE	: 	: 	277.3 p	230.2 p	169.0 p	145.2 p	108.2 p	115.4 p	100.0 p	70.0 p	76.4 p	82.9 p	176.0 p	111.4 p	91.5 p	70.0 p	46.8 p	56.9 p	41.6 p	28.7 s	30.5 s	32.5 s	31.5 s	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,SI	: 	22.0 p	17.8 	12.2 	17.0 	31.3 	41.3 	62.4 	100.0 	126.4 	224.1 	300.3 	203.0 	158.7 	174.1 	122.3 	96.7 	94.2 	83.3 	73.6 	74.2 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,SK	: 	: 	152.1 	134.5 	100.7 	86.6 	56.2 	51.9 	100.0 	143.7 	243.5 	128.4 	189.3 	185.6 	112.9 	51.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I10,TR	: 	147.3 	111.2 	99.4 	114.3 	92.7 	85.3 	71.5 	100.0 	56.6 	54.5 	63.4 	64.8 	58.3 	35.0 	21.3 	16.6 	28.9 	33.0 	35.1 	45.0 	48.0 	47.0 	53.7 	53.8 	56.5 	48.1 
PNUM,F_CC112,NSA,I10,UK	: 	: 	72.6 p	72.4 p	99.3 p	76.8 p	70.0 	80.6 	100.0 	87.9 	105.6 	174.5 	163.3 	162.0 	145.0 	109.4 	81.0 	69.1 	58.6 	50.3 	46.6 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,AL	1566.7 	1070.0 	583.3 	100.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,AT	105.6 e	137.2 e	120.4 e	100.0 p	96.0 p	89.1 	73.2 	81.7 	62.8 	65.9 	63.4 	61.0 	62.6 	57.9 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,BA	119.9 	112.7 	104.1 	100.0 	79.0 	57.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,BE	143.2 p	116.1 p	115.0 p	100.0 	120.6 	103.8 	91.8 	86.4 	97.0 	89.1 	106.2 	111.6 	127.8 	116.9 	100.2 	83.6 	76.4 	69.2 	68.3 	68.5 	54.8 	65.8 	62.5 	66.9 s	: 	: 	: 
PNUM,F_CC112,NSA,I15,BG	224.5 	149.0 	105.4 	100.0 	90.0 	65.0 	52.1 	52.1 	65.4 	110.7 	306.3 	411.5 	335.0 	198.5 	126.8 	59.3 	51.6 	41.9 	29.4 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,CY	211.7 	168.8 	104.2 	100.0 	80.4 	135.9 	199.6 	327.0 	563.4 	669.3 	884.7 	862.5 	728.0 	714.9 	556.4 	402.7 	256.5 	189.4 	172.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,CZ	108.7 	105.0 	87.1 	100.0 	91.0 	71.6 	62.3 	74.6 	84.1 	146.4 	173.6 	193.9 	189.8 	184.0 	167.2 	144.5 	142.3 	101.9 	139.7 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,DE	128.2 	124.0 	124.9 	100.0 	93.7 	87.8 	72.6 	65.0 	52.9 	49.0 	46.9 e	49.1 e	60.4 e	56.5 e	64.0 e	68.2 e	67.0 e	77.4 e	92.8 e	158.0 e	188.0 e	232.2 e	272.0 e	320.8 e	353.9 e	: 	: 
PNUM,F_CC112,NSA,I15,DK	154.3 e	127.7 e	141.0 e	100.0 e	70.8 e	43.7 e	46.6 e	67.4 e	50.6 e	19.9 e	38.1 e	45.2 e	93.7 e	111.6 e	88.5 e	83.0 e	67.1 e	57.1 e	47.5 e	43.0 e	39.4 e	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,EA19	136.3 	129.1 	116.8 	100.0 	97.3 	97.8 	123.0 	150.3 	155.1 	179.0 	264.4 	424.8 	466.9 	434.6 	399.0 	345.0 	308.5 s	293.8 s	309.9 s	298.7 s	294.6 s	283.0 s	289.3 s	315.3 s	: 	: 	: 
PNUM,F_CC112,NSA,I15,EE	124.8 	142.1 	105.1 	100.0 	64.6 	44.8 	49.4 	44.7 	36.5 	19.8 	76.7 	128.5 	208.6 	145.9 	153.0 	38.8 	41.7 	17.4 	12.1 	9.3 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,EL	215.3 	133.1 	108.5 	100.0 	106.1 	128.4 	236.0 	455.2 	916.0 	1098.4 	1543.3 	2050.5 	2609.4 	4574.0 	2563.0 	2711.8 	2723.6 	2175.8 	1740.7 s	1721.9 s	1855.9 s	1645.0 s	1549.0 s	1214.5 s	: 	: 	: 
PNUM,F_CC112,NSA,I15,ES	217.9 	163.2 p	130.5 e	100.0 	97.0 	82.0 	189.5 	245.6 	302.0 	475.5 e	987.0 e	2402.0 e	2757.6 e	2196.8 e	1973.9 e	1677.9 e	1432.6 e	1384.2 e	1554.4 e	1360.1 e	1225.3 e	1017.7 e	904.8 e	962.0 e	: 	: 	: 
PNUM,F_CC112,NSA,I15,EU28	131.3 	129.1 	116.7 	100.0 	98.6 	94.2 	112.8 	136.7 	142.5 	159.6 	232.8 	369.4 	403.0 	375.1 	343.4 	294.5 	260.8 s	247.7 s	258.4 s	247.4 s	243.4 s	233.9 s	239.0 s	260.5 s	: 	: 	: 
PNUM,F_CC112,NSA,I15,FI	139.5 	160.0 	131.0 	100.0 	90.4 	73.9 	85.1 	90.3 	81.4 	64.6 	56.5 	66.6 	74.1 	78.7 	71.8 	79.0 	70.1 	68.0 	86.6 	91.5 	81.9 	81.2 	64.1 	43.4 	: 	: 	: 
PNUM,F_CC112,NSA,I15,FR	117.1 	124.9 	118.4 	100.0 	91.1 	100.1 	111.8 	120.5 	98.8 	73.8 	99.9 	124.7 	134.2 	117.8 	101.5 	75.7 	65.5 	66.1 	69.0 	55.1 	97.7 	67.4 	68.0 	78.8 	95.5 	: 	: 
PNUM,F_CC112,NSA,I15,HR	168.1 	186.2 	137.1 	100.0 	113.1 	105.5 	134.3 	193.5 	185.5 	240.9 	409.1 	416.1 	422.4 	369.8 	322.7 	337.0 	301.5 	272.6 	164.1 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,HU	384.4 	403.3 	315.0 	100.0 	75.1 	50.2 	68.7 	84.2 	164.0 	264.1 	424.4 	388.7 	369.0 	461.2 	490.3 	437.4 	351.1 	336.7 	250.7 	118.5 s	85.3 s	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,IE	330.1 	191.0 	139.4 	100.0 	28.1 	42.8 	30.8 	91.2 	246.0 	491.8 	707.9 	772.0 	671.0 	848.3 	1148.1 	1029.0 	653.5 	636.4 	623.3 	458.2 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,IT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 
PNUM,F_CC112,NSA,I15,LT	133.3 	131.2 	128.8 	100.0 	72.7 	74.5 	66.5 	36.7 	37.9 	24.9 e	113.8 e	150.4 e	127.6 e	85.7 e	59.6 e	44.0 e	25.8 	24.7 	25.4 	33.3 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,LU	145.4 	123.5 	124.5 	100.0 	149.4 	79.6 	105.7 	100.6 	82.7 	93.6 	99.3 	121.4 	104.2 	115.8 	95.8 	78.6 	67.6 	62.4 	77.3 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,LV	222.8 	148.1 	172.3 	100.0 	132.8 	387.8 	263.1 	202.4 	230.0 	268.0 e	408.6 e	1370.4 e	1192.4 e	851.6 e	423.1 e	238.9 e	31.7 e	10.7 e	: c	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,ME	80.1 	146.5 	96.5 	100.0 	95.2 	107.7 	118.1 	105.2 	92.4 	113.4 e	86.5 e	69.3 e	46.4 e	41.4 e	66.0 e	38.4 e	48.7 e	41.9 e	53.9 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,MK	125.1 	133.5 	133.0 	100.0 	86.2 	78.4 	130.5 	111.3 	91.1 	76.6 	84.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,MT	366.9 	278.6 	206.7 	100.0 	72.7 	67.5 	81.4 	107.2 	122.3 	151.0 	202.4 	335.5 	293.2 	246.7 	172.3 	148.6 	127.4 	93.8 	45.7 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,NL	110.2 	107.2 	82.2 	100.0 	79.9 	63.1 	63.1 	94.1 	112.8 	122.2 	137.9 	133.2 	135.0 	97.1 	76.9 	79.4 	70.0 	65.6 	76.8 	90.6 	97.1 	117.6 	128.6 	102.7 	: 	: 	: 
PNUM,F_CC112,NSA,I15,NO	133.5 	133.3 	123.3 	100.0 	94.6 	100.9 	98.5 	98.6 	63.6 	59.6 	78.3 	125.3 	134.7 	143.4 	121.2 	83.2 	89.5 	81.6 	70.9 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,PL	140.5 	139.5 	112.1 	100.0 	77.8 	59.5 	74.4 	82.0 	70.3 	71.9 	109.3 	126.0 	85.3 	56.1 	46.8 	29.1 	36.9 	53.4 	68.9 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,PT	379.4 	234.4 	180.9 	100.0 	73.3 	79.2 	142.1 	238.4 	429.7 	475.4 	1017.1 e	1513.0 e	1622.7 e	1704.7 e	1720.5 e	1964.1 e	2156.3 e	2716.9 e	3132.7 e	3268.4 s	2995.1 s	2641.7 s	2306.7 s	2026.1 s	: 	: 	: 
PNUM,F_CC112,NSA,I15,RO	152.3 	176.6 	122.0 	100.0 	76.8 	59.5 	59.3 	49.8 	55.7 	55.6 	110.6 	94.5 	50.6 	32.1 	25.5 	25.9 	16.4 	27.8 	29.3 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,RS	197.6 	178.4 	134.5 	100.0 	76.5 	74.6 	110.0 	121.8 	112.7 	137.2 	158.3 	145.5 	109.3 e	112.1 e	106.3 e	97.1 e	74.0 e	70.2 e	70.9 e	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,SE	115.7 	137.4 	123.7 	100.0 p	73.4 p	63.0 p	47.0 p	50.1 p	43.4 p	30.4 p	33.2 p	36.0 p	76.5 p	48.4 p	39.7 p	30.4 p	20.3 p	24.7 p	18.1 p	12.5 s	13.3 s	14.1 s	13.7 s	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,SI	364.4 	190.3 	145.3 	100.0 	139.3 	255.9 	337.2 	509.7 	817.0 	1032.4 	1831.2 	2453.8 	1658.7 	1296.8 	1422.3 	999.6 	789.9 	769.2 	680.6 	601.2 	606.5 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,SK	95.7 	79.3 	113.1 	100.0 	74.9 	64.4 	41.8 	38.6 	74.4 	106.8 	181.1 	95.5 	140.7 	138.0 	83.9 	38.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,I15,TR	73.1 	156.5 	112.6 	100.0 	115.1 	93.3 	85.9 	72.0 	100.6 	57.0 	54.9 	63.8 	65.2 	58.6 	35.2 	21.4 	16.7 	29.1 	33.2 	35.3 	45.2 	48.4 	47.3 	54.0 	54.2 	56.9 	48.4 
PNUM,F_CC112,NSA,I15,UK	77.1 p	106.6 p	100.3 p	100.0 p	137.2 p	106.1 p	96.7 	111.4 	138.1 	121.4 	145.9 	241.1 	225.6 	223.9 	200.2 	151.1 	111.9 	95.4 	80.9 	69.5 	64.4 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,PCH_SM,AL	46.4 	83.4 	483.3 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,PCH_SM,AT	-23.0 e	14.0 e	20.4 ep	4.2 p	7.7 p	21.7 	-10.4 	30.1 	-4.7 	3.9 	3.9 	-2.6 	8.1 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,PCH_SM,BA	6.4 	8.3 	4.1 	26.6 	37.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PNUM,F_CC112,NSA,PCH_SM,BE	23.3 p	1.0 p	15.0 p	-17.1 	16.2 	13.1 	6.3 	-10.9 	8.9 	-16.1 	-4.8 	-12.7 	9.3 	16.7 	19.9 	9.4 	10.4 	1.3 	-0.3 	25.0 	-16.7 	5.3 	-6.6 s	: 	: 	: 	: 
PNUM,F_CC112,NSA,PCH_SM,BG	50.7 	41.4 	5.4 	11.1 	38.5 	24.8 	0.0 	-20.3 	-40.9 	-63.9 	-25.6 	22.8 	68.8 	56.5 	113.8 	14.9 	23.2 	42.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
